file,header,seq_len,query_len,edits,re_time,re_mem,shiftor_time,shiftor_mem,levenshtein_time,levenshtein_mem
dna_high_gc_len500_0.fasta,dna|high_gc|len500|i0,500,50,4,0.00023579999106004834,63492096,0.007955399982165545,63492096,0.0855355000239797,63492096
dna_high_gc_len500_0.fasta,dna|high_gc|len500|i0,500,50,5,0.00022680003894492984,63492096,0.012657899991609156,63492096,0.09774109994759783,63492096
dna_high_gc_len500_0.fasta,dna|high_gc|len500|i0,500,50,0,0.00021269998978823423,63492096,0.007823299965821207,63496192,0.061929700023029,63496192
dna_high_gc_len500_0.fasta,dna|high_gc|len500|i0,500,50,1,0.0002832000027410686,63496192,0.009981200040783733,63496192,0.06500970001798123,63500288
dna_high_gc_len500_0.fasta,dna|high_gc|len500|i0,500,50,2,0.00028229999588802457,63500288,0.01104379998287186,63504384,0.08464459999231622,63504384
dna_high_gc_len500_0.fasta,dna|high_gc|len500|i0,500,50,3,0.0004076000186614692,63504384,0.007974799955263734,63504384,0.08304719999432564,63504384
dna_high_gc_len500_0.fasta,dna|high_gc|len500|i0,500,50,4,0.00023790000705048442,63520768,0.00855189998401329,63520768,0.0874953999882564,63520768
dna_high_gc_len500_0.fasta,dna|high_gc|len500|i0,500,50,5,0.00024359999224543571,63520768,0.008887499978300184,63520768,0.09290879999753088,63520768
dna_high_gc_len500_0.fasta,dna|high_gc|len500|i0,500,50,0,0.0002882999833673239,63520768,0.00863930000923574,63520768,0.05573009996442124,63520768
dna_high_gc_len500_0.fasta,dna|high_gc|len500|i0,500,50,1,0.0002232000115327537,63520768,0.01109719998203218,63520768,0.06810069998027757,63520768
dna_high_gc_len500_0.fasta,dna|high_gc|len500|i0,500,50,2,0.0002177999704144895,63520768,0.01049860002240166,63520768,0.07168929994804785,63520768
dna_high_gc_len500_0.fasta,dna|high_gc|len500|i0,500,50,3,0.00026270002126693726,63520768,0.009841499966569245,63520768,0.07687250000890344,63520768
dna_high_gc_len500_0.fasta,dna|high_gc|len500|i0,500,50,4,0.00025290000485256314,63520768,0.011527700000442564,63520768,0.08931680000387132,63520768
dna_high_gc_len500_0.fasta,dna|high_gc|len500|i0,500,50,5,0.00022069999249652028,63520768,0.009078100032638758,63520768,0.09059689997229725,63524864
dna_low_complexity_len100_0.fasta,dna|low_complexity|len100|i0,100,20,0,0.00017919996753335,63524864,0.0013938999618403614,63524864,0.0056313000386580825,63528960
dna_low_complexity_len100_0.fasta,dna|low_complexity|len100|i0,100,20,1,0.00018309999722987413,63528960,0.0020735000143758953,63528960,0.004525600001215935,63528960
dna_low_complexity_len100_0.fasta,dna|low_complexity|len100|i0,100,20,2,0.00020110001787543297,63528960,0.0014552000211551785,63528960,0.0046499999589286745,63528960
dna_low_complexity_len100_0.fasta,dna|low_complexity|len100|i0,100,20,3,0.0005613000248558819,63533056,0.002019300009123981,63533056,0.011283600004389882,63533056
dna_low_complexity_len100_0.fasta,dna|low_complexity|len100|i0,100,20,4,0.00033170002279803157,63533056,0.003621000039856881,63533056,0.008539500006008893,63533056
dna_low_complexity_len100_0.fasta,dna|low_complexity|len100|i0,100,20,5,0.00016910000704228878,63533056,0.0025801999727264047,63533056,0.005831100046634674,63533056
dna_low_complexity_len100_0.fasta,dna|low_complexity|len100|i0,100,20,0,3.530003596097231e-05,63533056,0.003445300040766597,63533056,0.008081599953584373,63533056
dna_low_complexity_len100_0.fasta,dna|low_complexity|len100|i0,100,20,1,0.00020870001753792167,63533056,0.0014012999599799514,63537152,0.005737499974202365,63537152
dna_low_complexity_len100_0.fasta,dna|low_complexity|len100|i0,100,20,2,0.00017100002150982618,63537152,0.001403300033416599,63537152,0.007036500028334558,63537152
dna_low_complexity_len100_0.fasta,dna|low_complexity|len100|i0,100,20,3,0.00019259995315223932,63537152,0.004095899988897145,63537152,0.0057147000334225595,63537152
dna_low_complexity_len100_0.fasta,dna|low_complexity|len100|i0,100,20,4,0.0001993000041693449,63537152,0.0014663999900221825,63537152,0.006333200028166175,63537152
dna_low_complexity_len100_0.fasta,dna|low_complexity|len100|i0,100,20,5,0.00019260001135990024,63541248,0.00212309998460114,63541248,0.00952079996932298,63541248
dna_low_complexity_len100_0.fasta,dna|low_complexity|len100|i0,100,20,0,4.409998655319214e-05,63541248,0.0013719000271521509,63541248,0.00374700000975281,63541248
dna_low_complexity_len100_0.fasta,dna|low_complexity|len100|i0,100,20,1,0.00026020000223070383,63541248,0.0014623000170104206,63541248,0.004818100016564131,63541248
dna_low_complexity_len100_0.fasta,dna|low_complexity|len100|i0,100,20,2,0.00020569999469444156,63545344,0.0014183000312186778,63545344,0.0046928999945521355,63545344
dna_low_complexity_len100_0.fasta,dna|low_complexity|len100|i0,100,20,3,0.00023990002227947116,63545344,0.0016237000236287713,63545344,0.005133200029376894,63545344
dna_low_complexity_len100_0.fasta,dna|low_complexity|len100|i0,100,20,4,0.00019029999384656549,63545344,0.0013948999694548547,63545344,0.0054156999685801566,63545344
dna_low_complexity_len100_0.fasta,dna|low_complexity|len100|i0,100,20,5,0.00024369999300688505,63545344,0.0015005000168457627,63545344,0.0058932999963872135,63545344
dna_low_complexity_len100_0.fasta,dna|low_complexity|len100|i0,100,50,0,0.0003790000337176025,63545344,0.0023941000108607113,63545344,0.005657100002281368,63545344
dna_low_complexity_len100_0.fasta,dna|low_complexity|len100|i0,100,50,1,0.000381199992261827,63545344,0.0015912999515421689,63545344,0.0065246999729424715,63549440
dna_low_complexity_len100_0.fasta,dna|low_complexity|len100|i0,100,50,2,0.0002155999536626041,63549440,0.00412930001039058,63549440,0.008235600020270795,63549440
